0000f269f.jpg,612,115,691,255,5
0000f269f.jpg,691,115,770,255,6
0000f269f.jpg,770,115,849,255,2
0000f269f.jpg,849,115,928,255,1
0000f269f.jpg,928,115,1007,255,6
0000f269f.jpg,1007,115,1086,255,8
0000f269f.jpg,1086,115,1165,255,3
0002cc93b.jpg,914,156,961,240,4
0002cc93b.jpg,961,156,1008,240,7
0002cc93b.jpg,1008,156,1055,240,7
0002cc93b.jpg,1055,156,1102,240,1
0002cc93b.jpg,1102,156,1149,240,0
0002cc93b.jpg,1149,156,1196,240,3
00031f466.jpg,1243,131,1290,215,9
00031f466.jpg,1290,131,1337,215,1
00031f466.jpg,1337,131,1384,215,6
00031f466.jpg,1384,131,1431,215,8
000418bfc.jpg,294,69,337,145,2
000418bfc.jpg,337,69,380,145,1
000418bfc.jpg,380,69,423,145,2
000418bfc.jpg,423,69,466,145,6
000789191.jpg,1148,5,1186,73,8
000789191.jpg,1186,5,1224,73,3
000789191.jpg,1224,5,1262,73,3
0007a71bf.jpg,233,82,270,148,5
0007a71bf.jpg,270,82,307,148,9
0007a71bf.jpg,307,82,344,148,8
0007a71bf.jpg,344,82,381,148,6
0007a71bf.jpg,381,82,418,148,9
0007a71bf.jpg,418,82,455,148,8
0007a71bf.jpg,455,82,492,148,8
0007a71bf.jpg,492,82,529,148,3
000a4bcdd.jpg,483,12,541,115,8
000a4bcdd.jpg,541,12,599,115,3
000a4bcdd.jpg,599,12,657,115,3
000f6bf48.jpg,764,63,831,182,4
000f6bf48.jpg,831,63,898,182,5
000f6bf48.jpg,898,63,965,182,3
000f6bf48.jpg,965,63,1032,182,8
000f6bf48.jpg,1032,63,1099,182,2
001982b08.jpg,634,100,663,152,0
001982b08.jpg,663,100,692,152,3
001982b08.jpg,692,100,721,152,4
001982b08.jpg,721,100,750,152,6
001982b08.jpg,750,100,779,152,2
001982b08.jpg,779,100,808,152,2
001982b08.jpg,808,100,837,152,3
001d1b355.jpg,145,107,215,231,3
001d1b355.jpg,215,107,285,231,0
001d1b355.jpg,285,107,355,231,4
001d1b355.jpg,355,107,425,231,3
001d1b355.jpg,425,107,495,231,1
001d1b355.jpg,495,107,565,231,5
001d1b355.jpg,565,107,635,231,1
001d3d093.jpg,821,123,867,205,3
001d3d093.jpg,867,123,913,205,3
001d3d093.jpg,913,123,959,205,8
001d3d093.jpg,959,123,1005,205,4
002451917.jpg,336,156,384,241,7
